		sentence_1	sentence_2	marker
4	35672	She stopped pressing his wound .	He ogled at the injury and snorted .	when
0	71003	`` his eyes , '' jace said , raising his witchlight .	Shining it into mark 's face .	and
0	54656	His was a terrible choice .	He hadnt a clue of conway dukes neat trap .	and
2	24050	He wants to be friends .	Then he initiates what just happened .	but
2	139458	I can tear up the cushion and .	Felt pads that line the benches .	but
2	155407	Tears should have been forming .	They did n't . .	but
4	115171	Them to breathe they finally admitted defeat and left the planet behind for good .	The air became too bad . '' .	when
4	100050	I come in a beemer .	She 's expectin ' a monte carlo .	when
4	81486	He did not like to be noticed-were troubled , or made uncomfortable , or found themselves unaccountably scared .	He was about his business-and .	when
0	127706	Meera caught a blind white fish with her frog spear .	It was time to climb .	and
2	5867	He made a pass at me and . '' .	He 's old enough to be my father .	but
2	130373	Some people call me a black panther .	My baby , she knows the way i sound a few minutes before midnight , the moon pierced the black sky like a bulls-eye on a desert stage .	but
2	9792	`` he 's fine , '' she said , `` . '' .	If he wants to stay that way , i suggest he get up and come with us before the sheriff realizes you 've escaped the hotel .	but
0	90477	Does she eat birdseed .	Sit on a perch .	and
2	105841	You may not have an ava in your past .	You damn sure have a craig , which is probably worse .	but
4	2734	I asked phil if he could get his brother to ride the bike round to mine when we finished on the friday .	I got to school .	when
3	47002	They could make the arrangements for him right then and .	He was to be flying .	if
2	41364	At that moment not only did i want to curl up and die .	I thought i was already dead .	but
2	101002	I could see she was trying to control herself .	There was rage brewing in her .	but
1	88963	She must have been watching for him .	She threw the door open before he could ring the bell .	because
3	108812	It would add up , but he had n't . .	Her father had made cash withdrawals and flown to vegas .	if
4	135939	Indeed she could tell it went undetected .	She slipped a ten-dollar bill from the matchbox into her palm .	when
3	75068	I would feel more comfortable . '' .	You sat down while we talk .	if
3	101605	He could really have something and no one would be the wiser .	He uses accidents and covers all of the united states , not hitting in the same place .	if
3	125993	And , there 's really no better place . '' .	You 're going to dispose of a body in florida .	if
0	9662	Complete with recitation of its traditional poetic version , which laurence suspected lost a great deal of color in the translation , carried them past the gate , and full of children and hatchlings .	Some distance along the avenue towards a broad grey-flagged plaza set back from the road itself .	and
0	70782	She uncrossed her arms .	Balled her fists at her side .	and
4	101351	It seemed to always do .	She was getting heated .	when
4	111948	They had died two days .	A land mine exploded under their vehicle outside of baghdad .	when
4	41431	The only other ships docked had been .	Shed left the previous day .	when
0	150616	He had fought against the temptation to hate rich people .	He had felt genuine compassion for the karnak fragment in its agony .	and
2	33295	I make less money , and do stress-free stuff like real estate closings and wills .	I take on clients i like .	but
0	87860	Someone bring me a variety of eyepatches .	Someone else burn that hat '' .	and
4	108096	You won ' t know anybody .	You go away to college .	when
4	137313	It reminded her of him .	She gazed at its face .	when
1	112084	He 'd had to turn to other women .	I 'm frigid in bed .	because
3	23079	Chris could probably take him back and join us .	He wants to quit .	if
1	63681	Then she turned the conversation onto us .	Maybe shed noticed my lets-get-going signals .	because
4	74644	They walked back outside , intent to meet them as soon as they arrived .	They failed to find the mercenary leader or any of the others .	when
0	155691	Then i moved up to his chest .	Did the same thing .	and
0	114763	There was no reasoning with the old woman , for when they tried to question her about what had happened to dunstan , all her talk was of one of the prizes of her collection , given away by a good-for-nothing .	That was what came of ingratitude , and of these sad modern times , and of today 's servants .	and
2	54289	Not only were there three of them , on horseback .	They knew where they were .	but
4	117836	He took it out on her . '' .	He was frustrated at work .	when
4	105304	My mother used to give me .	She had pumped me for information .	when
2	42257	The men might not hear the silenced explosion , like he had witnessed it while peering through the houses front windows .	Ashe was positive that they would see the muzzle flash .	but
3	16482	Her outspokenness finished the job .	He 'd thought her coffee was enough to send his system into shock .	if
0	47596	She watched him crawl onto the bed .	Knew her virginity would soon be a memory .	and
3	21105	She would have finished him .	She 'd thought of a way .	if
2	154835	I should be quite happy if i knew that you heard from her : ; and my beautiful guest , i do feel the responsibility , unaided by advice from your mother .	This evening the accounts of the progress of the mysterious disease that has invaded our neighborhood , grow even more alarming .	but
2	19462	I never realized when it happened .	I notice my right hand reaching toward him .	but
0	128736	The blisters on his skin had even faded , just from the scent of her .	Though he was tired , he could function .	and
3	35129	But as the door closed behind the ivory train of the eyllwe princess , celaena wondered .	She 'd been wrong .	if
4	65461	Her mother was above her .	She opened her eyes .	when
0	142006	I could speak their language .	Could make sure that they had everything they needed .	and
0	155775	Worthy fellow met with a bad end when the station was shelled .	It fell to me to direct the removal of the wounded to a place of safety .	and
2	36024	Suspected that they werent good from the brief glimpses of the crashing waves and hellish winds i had witnessed when i checked on him .	I was still hopeful that the boat might have kept to its timescale .	but
0	57289	Gan and sylah broke away , riding to join the community .	It was when they arrived and dismounted to mingle with the larger group that the factionalism within the tribe crystallized .	and
0	105776	Her fingers shook along with her breath .	She realized his hands were moving at his own waist and she put her attention to helping him .	and
2	103216	He had almost told her .	A couple of things had held him .	but
2	145589	Yeah , pudge is adorable .	You want incorrigible / so jake is more endurable / 'cause he 's so-damn .	but
2	11484	Know how good a shot hauser was .	That was the great thing about using an mp40 .	but
0	62192	Enacting the scene where the guide is a child .	He performs his first miracle by curing a dying man .	and
2	9838	I now realize i had always been destined to join the dark army .	You robbed my of my destiny .	but
2	93454	My heart was still racing and i was no longer terrified .	It felt like id just walked in from a torrential downpour .	but
0	24300	My hands wandered slowly to his waist .	He slid my dress up , his fingers hot on my bare skin , making me breathless .	and
0	152668	Pretending was a waste of everyone 's time .	I had endured hell to keep mine .	and
3	73782	Oh , okay i 'd hide behind anything .	My life was on the line .	if
4	138857	You never know . '' .	It will keep you alive .	when
2	24197	The blinds were still closed and decided against it .	He considered going back to sleep .	but
0	7543	But the girl is my daughter . '' .	I have no doubt that once she is left with no one , she will come running to her father , to her family .	and
3	85909	Spend time with , make love to , that he 'd never truly know if it was his money or him she wanted .	She suddenly decided he was worthy enough to date .	if
2	48376	Tasha broke off her conversation with her brother and , giving a slightly off balance curtsy a curtsy all the same .	Walked up to the queen .	but
2	97020	I was proud of her .	I was also frightened for her .	but
1	125920	I think shes angry with me .	I wont drive her home , or because i talked her into coming to camp with us .	because
3	45807	But , she should probably try to help .	Malcolm turner was in that house and he was as dangerous as sebastian thought .	if
4	133355	I had a few messages .	I turned it on .	when
2	101603	Monitoring the diamond mine via the security feeds .	Luke was kind of apprehensive about asking for an update .	but
0	88060	I grabbed his wrist , twisted , then used an elbow at his neck to knock him unconscious .	Sent him to the ground .	and
4	122872	But , nothing about the situation seemed light .	She saw worry etching deeper in the older man 's face .	when
4	96834	Things might have been a little easier .	She was a child .	when
0	103790	He felt sweat breaking out on his still-clammy skin .	Realized he was trembling .	and
3	81815	He wouldnt be coming out alive .	I only had one guy go in .	if
2	142293	I 've already started working on that.the bowies and roger will go out .	We 'll need a few officers .	but
2	118027	My death would not be my ultimate defeat .	Instead would be their failure to extract from me what they wanted to know .	but
2	111145	I 'd worried about the noise from the hammering , and she 'd said any curious infected kept being drawn the other direction , toward the sound of the gunshots .	Tavia had kept an eye out .	but
2	24084	I 'll do my best .	It will still only be a zombie .	but
0	113500	Now i 'm feeling restless . '' .	Want to do something useful .	and
0	63177	He was dressed in a long coat that was slightly too small for him .	Had a black beret perched incongruously on spiky black hair .	and
4	128041	There is laughter in his eyes .	I meet his gaze .	when
0	156042	Piercing the barriers of his mind .	Striking the depths of his heart and his soul .	and
2	94327	He knew the place well by .	Hoped that this would be the last time he would have to look around it .	but
4	139446	He considered writing to you .	He found out what dottie intended .	when
4	151195	I realized that i 'd been crying all .	I reached up to brush away an escaping tear .	when
2	49542	Manfred knew the people at his table were talking .	They might as well have been making paper chains for all he knew .	but
4	74146	We swore up and down she 'd been home with us .	Laurel almost got busted messing with the twelve-foot holiday tree at la encantada .	when
0	134458	I 'm resistant to fire .	Can turn my hands into lights .	and
2	82026	He had no explanation .	He could catch callie 's scent mingled among the warriors .	but
0	116700	To take control of my weak body .	I sat up to look out the window .	and
2	5801	Each sketch was better than the previous one .	Her heart sank at the sight of the black ink scribbled through each masterpiece .	but
4	140003	His father told him .	Asked , that his mother died giving birth to his sister .	when
4	21399	She shrugged at covington .	Nobody responded to sam 's dare .	when
3	50361	We make people angry .	Even we dont have an answer , because hopefully someone smarter than us is watching and maybe they can figure it out .	if
2	32675	The accounts stretched back to when queen elizabeth first formed bur , and there were few references to preternaturals , even less about any female examples of such , and nothing at al about their progeny .	He 'd been scanning through them most of the night .	but
0	102865	Luthen took her hand .	Led her to the corridor .	and
3	28104	We 've got a real chance . '' .	You can stick it till we get .	if
2	45764	There was another smell hovering just below the candy canes .	Tom could not place it .	but
2	157797	We left some garbage and a flag there in the sixties . '' .	That 's about it .	but
2	135277	`` i 'm sorry , mrs cox .	I brought a date with me .	but
4	136852	I closed my eyes in relief .	I saw that he was holding sara , who was making those cute little baby noises and waving her arms .	when
4	153595	She could easily do .	A living being was anywhere within a one hundred-foot radius of her .	when
0	69920	Sold girl scout cookies , helped her build a matchbox car to enter the school race .	Gone on all the father/daughter trips .	and
4	57566	You gave your heart to valentine as children do , and made yourself a part of him .	You were a child .	when
4	105699	- `` `` igorina .	It 's you talking about this sort of thing .	when
2	12825	Michelle repeatedly pulled the sweatshirt down , and it was only about sixty degrees , so frostbite would be a while in coming .	Tucked the little hood around his head .	but
2	140606	She was gasping for breath and the tears kept leaking from her eyes .	Trying to slow her galloping heartbeat .	but
2	31699	Your beef was with peter .	Entire family has been a thorn in your ass for too long , and i love you too much to let this slide .	but
0	82906	Where we could pull over in privacy - a little park that was largely deserted in the cold weather .	Alcide called colonel flood .	and
4	97071	To send you home .	You 're visibly upset .	when
4	47604	There 's plenty of everything to go .	The tourists show up .	when
0	120472	She had been transcribing all morning .	Her shoulders were tight .	and
0	135372	As the slender young coward walked away , the guard entered the room .	Took up position behind me .	and
3	94798	Then im gon na die and go to country girl heaven .	All country girls dance like that .	if
1	124654	Had inadvertently handed them the very prize they had sought .	They had suspected it was made of substance z. henry .	because
1	64516	Im watching his eyes .	Theyre looking at me like hes waiting for me to change my mind .	because
0	81844	I closed my hands into fists .	Stepped toward him , ready to strike .	and
0	80432	A bronze-and-blue delivery droid zoomed past him , two sannos plates in its spiderlike silver arms .	Flew out over the heads of the crowd .	and
0	106193	He takes a thin leather thong from around his neck .	Puts it around hers .	and
0	68191	I watched her gloved hands pressing on my skin .	Had a remembrance , like a flashback in a tv show .	and
0	26158	She is a 2010 graduate of clarion west writers workshop and the speculative literature foundations older writer award in 2012 .	Received the writers of the future award in 2009 .	and
0	109424	As quickly as it came , her rage was gone .	In its place was arousal .	and
2	157622	He turned around and .	Winked at me , like he 'd enjoyed the strippers more than he wanted to let on to charlotte .	but
2	54868	Under other circumstances , he might have looked like an ordinary guy .	Fangs distorted his face and his eyes glowed red in the firelight .	but
2	108777	She should feel uncomfortable with this stranger but couldnt help .	Relax in the company of such rare beauty .	but
3	39057	If bianca succumbed to her injuries or an assassins designs , then hed never get a chance like this .	He left this night and things went .	if
2	93572	We hadnt decided this strategy .	Once under way , it was the obvious way to go .	but
0	62616	He tried to fork another bite into my already-full mouth .	I shook my head and stole the fork from him .	and
4	81933	I meant it . '' .	I said i was just as happy to have you behind the privacy of closed doors and blinds .	when
2	123816	As skipper , he had to make sure the sailboat didnt bury its bow too deeply into the trough and pitch pole , or .	Flip over , end-to-end .	but
2	75774	Much of chelsea was still occupied by the reasonably prosperous .	Our street seemed to have slipped into obscurity some years .	but
0	20624	I turned on my flashlight app was .	I began to search the ground like victor .	and
2	35903	Ok , we will not shout .	You just say one time that you are in love '' i was trying to teach him that some were the things in which we get some better ideas as compared to him .	but
2	22734	Vimes had spent his life on the streets , and he 'd never met the people .	Had met decent men and fools and people who 'd steal a penny from a blind beggar and people who performed silent miracles or desperate crimes every day behind the grubby windows of little houses .	but
3	65588	Softly , so no one else could hear , he said , id have you simply for the pleasure of teaching you a lesson .	You were not a witch .	if
3	17527	He would do it without a second thought .	She asked him to sail across the world to prove his love .	if
3	141411	I mean i 'll never fool them . '' .	Everyone is looking for my illusions .	if
4	137515	Just to sacrifice me .	It was convenient for you .	when
3	93273	'' falonar said softly as he settled in to wait .	It comes down to that .	if
0	34517	If the steel mary showed up , she should abandon her knighthood .	Run the other way .	and
4	99833	Me back-that kept me in la .	It was slowly killing me inside .	when
0	46807	They rose at the back of my throat .	I was bursting with the urge to tell noah everything .	and
0	40829	For that time , all of that force was focused .	Concentrated into a circle perhaps two hundred yards across that embraced the entire gallery and every vampire inside it .	and
2	101631	I thought i heard a loud crash .	My eyelids were too heavy to open .	but
2	2210	I know that you dont know me and considering you have been dealing with davids family , i can understand your apprehension about vampires .	I assure you that my family is nothing like that .	but
3	151151	I may have given it a go , but they thought i was too young .	I wouldve been allowed field work at .	if
0	130378	I felt the heaviness in his thoughts .	I heard the name of thunderwalker in my mind .	and
0	42070	He 's paired us with twins .	He 's kicking back waiting to see the results .	and
0	17593	You 're the best mommy in the world ? '' .	I love you more than milk and fishbones and ... what else do kitties like .	and
2	28299	I mean , he 's fine . '' .	He 's not fine .	but
4	115770	Your existence presents grim possibilities in the future .	Technology is more advanced and someone just as brilliant as i am , but not as compassionate does what ive done .	when
3	90267	Could cost a packet .	We try for a buy .	if
0	56539	Too few of us realise our .	He paused , glancing at ifferon , true destiny .	and
2	75972	Sinclair broke her hold of him .	Only to strip off his coat , waistcoat , shirt , and undershirt .	but
1	140154	There was no further dialogue .	They were both suddenly sound .	because
2	146044	I want to keep my name here because i want to put some distance between you and me .	Only here , that 's all .	but
3	69138	The only way we can catch james is .	He is the one that raped sarah .	if
2	130168	I could 've sent them back at the guards .	All i did was stop them .	but
0	97489	To brush my teeth .	Throw on some minimal makeup .	and
4	130141	Bobbing his head , steve said i remember he said something like , im going to do to you what i did to that little bitch last night .	Mike found us in dead grove and he started attacking cory .	when
2	14982	I 'd often suspected he took care of his needs during his morning shower .	I 've never been brave enough to venture into the bathroom for confirmation .	but
2	111816	Regina had bought a first-class reservation on the titanic .	Decided to stay in southampton for a few extra weeks and take the next steamer out .	but
4	125046	I stated , recalling the moment of terror in the pit of my stomach .	He had me crammed in the door jam .	when
3	124180	It would be nice . '' .	He took a break once in a while .	if
0	34957	Where the dagger might be hidden .	How they could go about pinpointing its exact location .	and
2	80878	The need flooded back in the wake of all that reprieve .	Hunger actually gained the upper hand , at least for the moment .	but
0	113070	The explosives were set .	We were just waiting for the scattered teams to push ignite .	and
0	150618	That is my sister .	We speak on the telephone almost every day , i could almost hear the smile in her voice no spy cameras , i promise .	and
2	88230	I can tell the soldiers are more than uneasy to let us leave .	None of them say anything more .	but
0	31177	Where they pulled out bags of flour and sugar and corn meal , ripping them open .	Lapping up the contents .	and
3	106595	I would definitely see it .	I turned to mist .	if
2	120443	He tried to walk .	It was moving through molasses instead of air .	but
0	86268	She lifted her head , there has to be a communication in the meantime .	Looked at him , `` but you 're .	and
4	30862	Things quieted down guests either going out to sit on the front porch or going back to their rooms .	The social hour was .	when
0	41646	He suspected now that he had fallen in with a rascal .	He thought uncomfortably that he had brought only a little money with him .	and
2	129106	At least she told her body to move .	All that happened was a small flop of her torso , as if she were a fish out of water , and her head started spinning .	but
1	80440	If they bought a monument here in ada , they would have bought it from joe gifford .	He 's the only monument works .	because
3	27975	But , hell be severely disappointed .	The trip gets cancelled .	if
2	16937	As he stood there debating his next move , two figures emerged from the smaller doorway and squatting down quickly , tom watched them pass directly in front of him .	Their eyes appeared to be set straight ahead , so he went unnoticed .	but
2	8135	He was arm 's length from angie .	The woman stumbled backward , shrinking against the broken car .	but
2	125165	This is just educated guesswork on my part .	It seems like the scientist who mutated the weaving manipulated it to work only on females doc offered .	but
0	94233	Do not attempt to climb the highest tree on the island , do not hack off the arm of your enemy and wear it as your own , have already been officiated .	Do not run into granite walls .	and
0	15845	The mob is going to miss him .	His jolly urging to wholesale troll slaughter .	and
4	75013	Those people down there will just have to worship my memory .	I go at the end of august .	when
2	95459	I stood , a little shaky .	I knew i could walk .	but
1	115835	When she gave them .	They 'd gone out of style .	because
4	41816	She found not a small degree of satisfaction .	The man had to help cassandra .	when
1	67722	And of course reese pembleton just happens to work in that exact garage .	It 's how it goes .	because
2	20346	I wish i could 've blamed my tears on the hormones .	I knew i could n't . .	but
0	144327	Carved by the abrupt change in the streams direction .	What he saw in it made him exclaim .	and
3	55967	Maybe that 's what it would take to get him to back down .	The hurt on his face was as real as it looked .	if
2	151288	Shed bought her a new dress .	Carolyn was determined to show off her new duke sweatshirt .	but
1	62677	He was able to keep her prisoner for so long . '' .	So many carpathians swore he was teaching them a class in safeguards when the murder and kidnapping took place .	because
3	90104	`` , then he should have been expecting the fall-the others were falling in the muck , '' cordus complained to a red hand captain .	Your man was as experienced as you say .	if
4	91285	I will return . '' .	You are ready to choose a new don .	when
3	16076	Nothing would ever be normal .	I continued to allow her to disrupt my calm .	if
0	144923	They do not feed it when it has hatched .	Only try and chain it .	and
4	30504	I never knew such men existed .	I met your father .	when
0	149912	But gatlin had changed .	That was harder to understand .	and
3	66130	`` what you have done ? '' .	It had been your eye .	if
0	29122	Errol ran up vimes 's back in a flurry of claws .	Fastened himself firmly on his shoulder .	and
0	147786	She just opened her eyes even wider .	Raised her hands in a hopeless , i-have-no-earthly-idea gesture .	and
0	62563	Zook roared in anger .	He turned the painful power onto the bubble that bound him .	and
3	151403	I will ruin you and rip you to shreds-and then some . '' .	You have sex with kyle or any other man for that matter .	if
0	127093	Let 's try it , '' she murmured .	Held out her hands to skyler and ivory .	and
1	38533	My life is not defined by my attractiveness .	That brings its own perils as well as its own rewards .	because
0	26543	He 's frivolous self-important , but . '' .	He 's my brother .	and
0	140971	I ran in my thin-soled sneakers my feet ached .	I longed for the well-padded running shoes that would become popular in the future .	and
4	104066	What would have been the future ( what still might be , if evanna 's plan failed .	Mr tiny had sent harkat and me .	when
0	6237	My body remembered faster than my mind .	Moved of its own accord as he dipped and twirled me about the floor .	and
1	67184	We 're called afterlights .	We give off a faint glow-which makes it easy to see things in the dark .	because
0	82358	`` the old priest raised his hand as if he would strike her .	She laughed in his face. .	and
3	9521	`` what i actually said was i wondered . '' .	I kicked a puppy if it would whine more than he did .	if
2	14783	He smiled at her , `` perhaps . '' .	I know i was glad it was you here tonight and not cora .	but
2	6912	His handsome face was impassive .	She had the impression he was pleased .	but
4	132857	Us to resort to a turkey baster .	I 'm perfectly capable of taking care of the job myself .	when
0	77381	Then , with a crack that resounded through her brain , her head hit the far wall .	She fell heavily to the dirt floor .	and
2	63528	I was trying to make light .	I was bummed out about a bunch of things .	but
2	130718	When she returned andrew had woken up connor .	The two were obviously groggy .	but
0	137182	Chance offered his hand .	I hesitated only a second before i took it .	and
3	18155	She would have sensed .	Someone had been inside while she was .	if
3	40505	But it was so damned good to be home .	Even this was just a short stay .	if
4	89703	Such brutalities did take place .	Kidnapped children needed to be made ready for begging .	when
3	74718	He wasnt happy with the idea of giving the chief the entire story he still wasnt sure .	He could trust the chief in spite of how dianne might feel about it .	if
2	81841	Know i have lied so many times about the bruises i have gotten .	Jayden is the one who gave them to me .	but
0	142458	The words written on the window seemed to be smoking .	For a moment i was confused by what i saw .	and
0	150908	He closes his eyes .	Pulls , grateful for the solid shape of this known sensation .	and
2	82709	Dani turned in surprise .	There was no body to go with the voice that had spoken .	but
2	63136	Maybe it was because she was still seething about her encounter with spencer .	Her body reacted before her mind could intervene .	but
3	128152	We will die here on this field .	You do not listen .	if
2	47565	Some other survivors had joined them .	They were battered and beaten .	but
3	114414	Just put sean and me in a small room together and watch the kilowatts go through the roof .	There was ever another power crisis .	if
2	138481	My mom went to work .	Shes almost returning and i dont want her to know that i was gone , marina explained as she cleaned the grass from her clothes .	but
0	139047	Jerzy and joaquim shook their heads .	Jerzy gave me a surprisingly serious look , for him .	and
0	76435	It had not escaped his notice that junichiro had made extraordinary progress in his study of english : he had seen the boy make persistent overtures to the russian artillery-officers , in particular , and questioning any he found who could speak at least a little french .	Had furthermore devoted himself with great attention to mastering not only aerial tactics , but learning as much as he could of all others .	and
0	39405	So you did , '' he returned .	There was a pleased edge to the words .	and
2	156002	With which he disagreed .	Felt powerless to influence .	but
3	159265	You 'll peg me for a bravo .	I tell you i 'm tough .	if
2	44031	She 'd considered taking a shower in the locker room at school : tina et al .	That might even be more dangerous .	but
0	112736	They were attempting to circle around .	Get in front of them .	and
3	21670	Ill still love you .	Even you do lose all your hair and your stomach begins to bulge to shirt popping proportions .	if
4	44827	Aiding the sensation by moving around while beating empty logs with a stick and chanting deep nonsensical phrases , he made the arrest at daybreak .	His quarry bolted to escape the ghostly menace .	when
2	98186	`` sir , forgive me for calling at this hour , '' kresh said , `` .	I have some very bad news .	but
4	121010	We feel like genuine rock and roll stars .	The town hall comes into sight with a number of people outside the venue .	when
3	25326	Who would have been pounded into jelly .	Theyd tried to inflict such punishment on another human .	if
2	107479	He 'd heard anything .	Just got his answering service .	but
2	85604	Some of it was like psychobabble .	Some of it seemed quite powerful .	but
0	76854	She 'd be his queen .	Then he could stop `` dicking around '' up here with her .	and
4	41535	Vadim was going to address her .	She finally shook her head slightly , which seemed to mean , no .	when
2	105691	It 's just not marked out .	There 's a slight discoloration .	but
2	126706	Rand jumped forward , reaching for her .	He was too late .	but
2	69153	I opened my eyes , expecting to see smith .	Found only brown eyes above me .	but
3	78867	They 'll be able to deal with any frictions that might have arisen during the past year .	The three arendish dukes meet every summer .	if
0	27671	Rusl answered the call to arms for the gamelon front , she reveals , grabbing a shocked expression from link .	Took talo with him .	and
2	79313	Her senses whirled , as if she might faint .	She did n't . .	but
2	70563	He had always been a predator .	Now he was sitting easily at the top of the proverbial food chain , a predator without competition .	but
0	124844	I finished my coffee .	Poured myself another cup .	and
0	129599	But his mouth was dry .	His throat seemed to be strangely constricted .	and
0	40739	As she obeyed him , he pulled down his zipper .	Moved her dress out of the way .	and
2	154454	Which made it a darn sight harder .	Helped to make up his mind .	but
2	102467	I followed as quickly as i could .	The branches and vines whipped my face and caught on my feet .	but
3	138785	He was doing too good of a job hiding it .	Winston had been planning to kill or torture them .	if
1	132772	Then i ran over to the chapel .	I knew she would give me permission to leave the grounds under the circumstances .	because
2	47597	I was not having anything to give them at that time .	Tears in those quiet eyes were forcing me to help them .	but
2	84648	The two men might have been on different levels .	Things had changed since .	but
3	140525	She 'll be retired and find a good home in the interstellar history museum on new terra .	She ever becomes less than starworthy .	if
0	120194	Chloe has gage tucked under the gazebo .	She 's yapping into him , spastic like a wind up chihuahua .	and
2	111320	There was a muffled explosion somewhere inside fluffy , and that sort of thing happens every day .	He was lifted about three feet into the air .	but
4	144397	I 'm not leaving my socks . '' .	We 're in bed .	when
2	97550	`` he will bring a rose for you , '' her father promised her .	A rose was no good , a rose could not keep her safe .	but
3	122801	One tremendous shove and the armoured man would be floundering in the water .	They came round the lake to his side .	if
2	142406	She looks cute . '' .	Her bite is lethal .	but
3	4431	They would have been decapitated .	Anybody had been near him .	if
2	22347	He asked silbra dal for more details .	As expected , she respectfully declined to answer .	but
2	110140	He didnt need to polish it , as its gold surface had remained unblemished .	Out of some strange sense that this was a precious item to him , he did .	but
2	3363	I felt something shift then settle , the soft spot was still there , still vulnerable .	Now i showed it to him , i closed the door on it , locked it and handed luke the key .	but
2	123533	He was no longer material or matter .	Something lose and free and flying in the air above everything .	but
3	145639	Why would you dis a rock star , ? '' .	You want to be one .	if
0	93357	The girl went over to the lake , crunching back and forth across the pebbly shore , and talking to the eel-like fish that swirled in the depths of it .	Waded her bare feet into it .	and
2	112581	It was summer and , this one with light blues and hints of yellow against a background of cream .	Today was going to be hot so he 'd lost the t-shirt and was just wearing a lightweight plaid shirt .	but
0	43339	He can become any creature he wants .	Even turn a rose thorn into a dagger .	and
4	59647	That kandrigi came to this ka a long time .	We ware both young .	when
2	154708	Summer 's weight was warm in jenny 's arms , and .	Summer 's flesh looked like real flesh , not like plastic or that hideous goo that slug 's body had been wearing .	but
0	141470	After i fixed things with the financial office , i hung up .	Tried to figure out what i should do next .	and
4	135090	The two men backed away , letting ty '' s knees go weak .	Dolce pulled it out .	when
0	64676	The taller man jumped to his feet .	Found himself facing his enemy .	and
2	147732	The baxters and aunt abby and even agent townsend had told me the facts .	Only my mom could make me believe them .	but
2	49494	My name is william t. grayson .	You can call me will .	but
2	88667	Well , it would probably be smarter to just stay here . '' .	I understand the need to show you 're not giving your life up .	but
4	82830	She was in the rosewood day parking lot again , mona 's car barreling toward her .	She shut her eyes .	when
2	119758	I should be relieved .	I realize i am .	but
2	75425	I shouted , lunging .	A cadaverous hand stopped me .	but
0	110448	Girard licked a drop of blood from his lips .	Then grinned at her .	and
0	144496	He 'd used it to power up the circle .	I could feel its energy trapping all the magic in it , including my own .	and
2	16786	Tamar started to say something .	Was interrupted by jabril .	but
2	56293	I do want you immobilized , and . '' .	If i give you the cure , you 'll just go right back to being a pain in my ass .	but
4	58730	The sun was painfully bright .	He stumbled out into the streets of natayos and went looking for the source of the screams that had awakened him .	when
2	96552	If one of us relapsed , it could affect the other .	Since andi 's issue was not really alcohol or drug related , she was hopeful that we could help and encourage one another .	but
3	118963	The second question is would you still want to marry him .	He is the exact same person twenty years from now that he is today .	if
2	53298	He was a senior , got suspended a lot .	Always seemed able to find her .	but
0	62378	Isabella sat down on the ground .	Started to unfold some small rocks into paper as she had done at the beginning of the maze .	and
0	19748	The guy pulled a gun .	Ran off down the hall and down the stairs with the security boys in hot pursuit .	and
0	66789	Leech forgotten , joyah .	Addri jumped forward to the edge of the crevice .	and
4	62784	Heat skittered up the length of his arm to reverberate through his chest .	She slid her palm against his .	when
2	93668	She started to bend and touch him . '' .	He screamed again , and galen was suddenly at her side , taking her wrist and saying `` make sure he sees you and not her before you touch him .	but
3	135109	Wasnt any sacrifice worth the cost .	It meant saving those i loved .	if
3	77476	At least he would do so in comfort .	He had to spend the daylight hours sleeping the sleep of the undead .	if
0	88566	She was human , she was vampire .	She could not escape the call of passion and of joining , flesh-to-flesh .	and
0	66558	Opal tightened her grip on eva 's arm then shoved her .	Dragged the girl over to where clementine was standing .	and
4	103889	He tipped everyone , handing extra dollar bills to everyone he encountered ; and then he decided that he was being taken advantage of , that perhaps they were even laughing at him , and he stopped tipping .	He first arrived , scared of being seen as a cheap arab .	when
2	57132	No child needs to hear that his mom left because she chose to be with her lover .	We 're not little kids .	but
0	129538	Then those sounds began to fade .	All she heard were the deep breaths of mira .	and
2	149789	She reached out a hand to touch his chest .	He took a step .	but
2	157403	`` i am finishing an ma in microbiology , and . '' .	Have just been accepted to the john hopkins medical school .	but
1	13690	Her father convinced to buy her a horse-no pony for her .	She 's a real cowgirl .	because
0	25283	Fearghus dodged an iron spear to the face .	Blocked a sword to the gut .	and
2	70003	Not just his eyes were no longer red-rimmed because his stature had altered .	She hardly recognized him now , and .	but
0	91516	He kicked the horse .	Rode off towards noiknaer .	and
0	36946	Frowning , he glanced at the number .	Waved his fingers at the door .	and
2	135804	Yes , but only her chocolate-coated side , i wanted to say .	Then i realized what that remark of his meant , and all at once , i really was terribly jealous of charlotte .	but
0	72267	She peered into a new room .	Saw a horde of men waiting for her in various states of undress with evil grins stretching across their collective faces .	and
2	68641	Somewhere in the back of her hazy mind , she knew she was dreaming this unabashedly sexual fantasy .	It was too delicious to force herself to consciousness .	but
3	138966	You slept during the day .	You would be too you were completely helpless .	if
4	138981	Particularly delighted in telling the others about her sordid encounters with the others .	Particularly it involved her time with foreigners .	when
3	63117	It should have been through them by .	The boat was heading out to the jetties .	if
0	35977	The security here seemed very heavy-but , then , the church is in the west bank .	There had been a couple of terrorist scares .	and
0	158612	Armed with this important intelligence .	Despite the cold and rainy weather , urrea managed a forced march in the middle of the night on february 25 .	and
0	158122	I walked over to the edge of the pit , bent .	Held out my hand .	and
2	43008	He wanted to laugh .	Sound carried too easily in the wilderness .	but
